race_name,weather,no,load_weight,long,ground,condition,time
"ジャパンC(G1)","曇",4,58,2400,"芝","良",222.7
"天皇賞(秋)(G1)","晴",7,58,2000,"芝","良",156.6
"ドバイターフ(G1)","晴","取",57,1800,"芝","良",""
"京都記念(G2)","晴",1,58,2200,"芝","良",210.9
"凱旋門賞(G1)","雨",19,56.5,2400,"芝","重",236
"ニエル賞(G2)","雨",4,58,2400,"芝","重",257
"東京優駿(G1)","晴",1,57,2400,"芝","良",221.9
"皐月賞(G1)","曇",3,57,2000,"芝","良",200
"報知弥生ディープ記念(G2)","曇",2,56,2000,"芝","良",200.5
"朝日フューチュリティ(G1)","晴",1,55,1600,"芝","良",133.5
"アイビーS(L)","晴",1,55,1800,"芝","良",149.3
"二歳新馬","曇",1,54,1800,"芝","良",150.2
