race_name,weather,no,load_weight,long,condition,time
有馬記念(G1),晴,2,56,芝2500,良,2:31.0
ジャパンC(G1),曇,3,56,芝2400,良,2:22.6
ヴィクトリアマイル(G1),小雨,3,56,芝1600,良,1:32.3
大阪杯(G1),晴,2,56,芝2000,良,1:57.4
秋華賞(G1),晴,3,55,芝2000,良,1:58.7
優駿牝馬(G1),晴,1,55,芝2400,良,2:23.9
桜花賞(G1),晴,1,55,芝1600,良,1:32.9
デイリー杯クイーンC(G3),晴,2,54,芝1600,良,1:34.2
フェアリーS(G3),曇,2,54,芝1600,良,1:35.3
赤松賞(1勝クラス),曇,3,54,芝1600,良,1:34.3
2歳未勝利,曇,1,54,芝1800,良,1:47.3
2歳新馬,雨,2,54,芝1800,良,1:51.3
