race_name,weather,no,load_weight,long,ground,condition,time
"ジャパンC(G1)","曇",3,56,2400,"芝","良",222.6
"ヴィクトリアマイル(G1)","小雨",3,56,1600,"芝","良",132.3
"大阪杯(G1)","晴",2,56,2000,"芝","良",157.4
"秋華賞(G1)","晴",3,55,2000,"芝","良",158.7
"優駿牝馬(G1)","晴",1,55,2400,"芝","良",223.9
"桜花賞(G1)","晴",1,55,1600,"芝","良",132.9
"デイリー杯クイーンC(G3)","晴",2,54,1600,"芝","良",134.2
"フェアリーS(G3)","曇",2,54,1600,"芝","良",135.3
"赤松賞(1勝クラス)","曇",3,54,1600,"芝","良",134.3
"2歳未勝利","曇",1,54,1800,"芝","良",147.3
"2歳新馬","雨",2,54,1800,"芝","良",151.3
